windowId,role,timestamp,grid,comparison,model,reference,glorysDepthMeters,nCells,medianVecDiff,meanVecDiff,minVecDiff,maxVecDiff,p10VecDiff,p25VecDiff,p50VecDiff,p75VecDiff,p90VecDiff,rmsVecDiff,medianAbsDu,medianAbsDv,meanAbsDu,meanAbsDv,medianModelSpeed,medianRefSpeed,meanModelSpeed,meanRefSpeed,nRelSpeed,medianRelSpeedDiff,meanRelSpeedDiff,nDirection,medianAbsDirDiff,meanAbsDirDiff,p10AbsDirDiff,p25AbsDirDiff,p50AbsDirDiff,p75AbsDirDiff,p90AbsDirDiff,medianSignedDirDiff,fractionCW,fractionCCW,fractionZero,pearsonU,pearsonV
KE-H1,HOLDOUT,2010-08-11T12:00:00Z,AVISO_PRIMARY,C,GLORYS_D15,AVISO,15.81007,3351,0.222723,0.303404,0.003616,1.876401,0.075016,0.130549,0.222723,0.389277,0.6239,0.402097,0.143422,0.112346,0.211719,0.169948,0.282383,0.130179,0.388404,0.188316,3339,1.072268,3.473393,3339,35.056726,48.545841,5.99069,14.945836,35.056726,69.820674,116.342447,1.769732,0.518419,0.481581,0.0,0.668007,0.717635
KE-H1,HOLDOUT,2010-08-11T12:00:00Z,AVISO_PRIMARY,C,GLORYS_D20,AVISO,18.49556,3349,0.22133,0.300554,0.005278,1.851669,0.072733,0.129645,0.22133,0.383266,0.622727,0.398211,0.143123,0.112429,0.208372,0.170006,0.282949,0.130186,0.386703,0.188381,3337,1.05531,3.445299,3337,34.630402,48.118558,5.867742,14.888914,34.630402,69.227169,114.943988,1.953394,0.516931,0.483069,0.0,0.670643,0.716911
KE-H2,HOLDOUT,2010-08-18T12:00:00Z,AVISO_PRIMARY,C,GLORYS,AVISO,15.81007,208,0.482386,0.521625,0.014691,1.619567,0.201275,0.331513,0.482386,0.677132,0.856003,0.591284,0.314101,0.248279,0.355268,0.306597,0.485887,0.290131,0.646018,0.369409,207,0.790647,4.985678,207,44.525578,65.970032,11.994424,21.567821,44.525578,109.392613,150.910829,3.97564,0.52657,0.47343,0.0,0.849406,0.559336
KE-H2,HOLDOUT,2010-08-18T12:00:00Z,AVISO_PRIMARY,C,GLORYS_D15,AVISO,15.81007,208,0.482386,0.521625,0.014691,1.619567,0.201275,0.331513,0.482386,0.677132,0.856003,0.591284,0.314101,0.248279,0.355268,0.306597,0.485887,0.290131,0.646018,0.369409,207,0.790647,4.985678,207,44.525578,65.970032,11.994424,21.567821,44.525578,109.392613,150.910829,3.97564,0.52657,0.47343,0.0,0.849406,0.559336
KE-H3,HOLDOUT,2010-11-17T12:00:00Z,AVISO_PRIMARY,A,HYCOM,GLORYS,15.81007,2321,0.259881,0.313014,0.007713,1.507291,0.101645,0.163878,0.259881,0.418258,0.596705,0.376459,0.153542,0.147228,0.205174,0.19219,0.308375,0.241378,0.395604,0.307629,2321,0.291605,0.9005,2321,39.888521,54.26196,6.899445,17.193646,39.888521,82.108101,128.490746,-5.996729,0.455838,0.544162,0.0,0.685466,0.653525
KE-H3,HOLDOUT,2010-11-17T12:00:00Z,AVISO_PRIMARY,B,HYCOM,AVISO,15.81007,2321,0.241846,0.292294,0.001347,1.34166,0.086152,0.144941,0.241846,0.373247,0.572872,0.357713,0.141012,0.133995,0.18817,0.185545,0.308375,0.150059,0.395604,0.188026,2320,1.058735,3.665712,2320,32.319314,48.682341,4.931896,13.254667,32.319314,69.345538,125.507911,-3.234296,0.467241,0.532759,0.0,0.797268,0.72754
KE-H3,HOLDOUT,2010-11-17T12:00:00Z,AVISO_PRIMARY,C,GLORYS,AVISO,15.81007,2321,0.187597,0.241064,0.005137,1.121274,0.067864,0.114146,0.187597,0.32744,0.483816,0.29814,0.114024,0.100221,0.164936,0.140727,0.241378,0.150059,0.307629,0.188026,2320,0.623692,2.471244,2320,35.399086,50.364524,5.865409,15.591535,35.399086,74.176256,124.086752,-2.48604,0.47931,0.52069,0.0,0.662874,0.693261
KE-H3,HOLDOUT,2010-11-17T12:00:00Z,HYCOM_NATIVE_FIELD_DIAGNOSTIC,A,HYCOM,GLORYS,15.81007,25606,0.270472,0.331548,0.001372,1.670364,0.101331,0.168248,0.270472,0.438724,0.631562,0.405116,0.160128,0.150308,0.21717,0.202824,0.32985,0.253453,0.427073,0.332254,25606,0.301115,0.939031,25606,39.373552,53.568795,5.980714,16.301377,39.373552,80.547292,128.288744,-5.044603,0.4579,0.5421,0.0,0.688114,0.656168
KE-H3,HOLDOUT,2010-11-17T12:00:00Z,AVISO_PRIMARY,C,GLORYS_D05,AVISO,5.078224,2321,0.187937,0.240569,0.006385,1.115092,0.06731,0.115373,0.187937,0.325065,0.482448,0.296922,0.116843,0.100069,0.16438,0.140953,0.242604,0.150059,0.307114,0.188026,2320,0.636997,2.497766,2320,35.570019,50.035796,5.829792,15.155557,35.570019,72.296975,121.986103,-1.853336,0.485776,0.514224,0.0,0.658415,0.693773
KE-H3,HOLDOUT,2010-11-17T12:00:00Z,AVISO_PRIMARY,C,GLORYS_D10,AVISO,9.572997,2321,0.188359,0.240834,0.003412,1.122359,0.067423,0.113755,0.188359,0.326914,0.483167,0.297642,0.115097,0.100651,0.164627,0.140879,0.242137,0.150059,0.307336,0.188026,2320,0.620378,2.482068,2320,35.623409,50.238152,5.67987,15.345693,35.623409,73.197825,124.468466,-1.734819,0.481897,0.518103,0.0,0.660803,0.693343
KE-H3,HOLDOUT,2010-11-17T12:00:00Z,AVISO_PRIMARY,C,GLORYS_D15,AVISO,15.81007,2321,0.187597,0.241064,0.005137,1.121274,0.067864,0.114146,0.187597,0.32744,0.483816,0.29814,0.114024,0.100221,0.164936,0.140727,0.241378,0.150059,0.307629,0.188026,2320,0.623692,2.471244,2320,35.399086,50.364524,5.865409,15.591535,35.399086,74.176256,124.086752,-2.48604,0.47931,0.52069,0.0,0.662874,0.693261
KE-H3,HOLDOUT,2010-11-17T12:00:00Z,AVISO_PRIMARY,C,GLORYS_D20,AVISO,18.49556,2321,0.187275,0.241097,0.005694,1.11296,0.068145,0.113869,0.187275,0.32853,0.484872,0.298207,0.114522,0.099882,0.165029,0.140622,0.242092,0.150059,0.307705,0.188026,2320,0.618845,2.468179,2320,35.517543,50.421505,5.6708,15.510277,35.517543,74.308073,124.468925,-2.484403,0.478448,0.521552,0.0,0.66355,0.693397
